Alcohol,pH,Citric_Acid,Sulphates,Volatile_Acidity,Residual_Sugar,Quality
9.39,3.49,0.75,0.8,0.39,3.64,Medium Quality
10.66,3.68,0.63,0.89,0.57,1.14,High Quality
13.55,3.31,0.57,1.17,0.49,2.13,High Quality
9.52,3.12,0.68,1.19,0.27,11.07,Medium Quality
8.38,3.11,0.08,0.56,0.23,4.4,Low Quality
9.83,3.57,0.2,0.96,0.51,7.61,Medium Quality
9.91,3.63,0.14,0.97,0.22,6.01,Medium Quality
12.3,2.99,0.43,0.61,0.35,5.29,Medium Quality
11.62,2.96,0.61,0.41,0.85,6.76,Medium Quality
13.1,3.43,0.52,0.34,0.84,2.9,Medium Quality
12.32,3.03,0.69,1.0,0.86,11.87,Medium Quality
10.64,3.64,0.17,0.74,0.49,9.97,Medium Quality
13.29,3.18,0.6,1.19,1.0,9.11,High Quality
9.09,3.03,0.19,0.72,0.73,6.05,Low Quality
8.15,3.73,0.25,1.18,0.31,2.51,Low Quality
8.59,3.05,0.58,0.67,0.33,11.11,Low Quality
12.7,3.16,0.79,1.01,0.82,4.62,High Quality
11.0,3.04,0.51,0.38,0.36,1.36,Medium Quality
9.05,3.0,0.09,0.8,0.66,4.63,Low Quality
11.26,2.92,0.51,1.02,1.09,9.7,Medium Quality
8.99,2.95,0.08,1.13,0.2,7.77,Medium Quality
12.53,3.06,0.71,1.04,0.21,9.21,High Quality
10.9,2.95,0.58,0.33,1.09,9.69,Low Quality
10.48,3.43,0.18,0.64,0.73,3.17,Low Quality
9.96,3.51,0.12,0.34,0.31,11.15,Low Quality
12.1,3.25,0.19,0.4,1.01,5.71,Medium Quality
10.35,3.19,0.79,0.91,0.99,7.96,Low Quality
8.57,3.35,0.39,0.94,0.68,0.83,Low Quality
8.77,3.69,0.64,1.0,0.76,11.93,Low Quality
14.25,3.67,0.53,1.08,0.45,3.95,High Quality
13.91,2.94,0.48,0.97,0.25,1.5,High Quality
12.55,3.06,0.16,1.02,0.74,5.93,High Quality
9.73,3.11,0.76,0.34,0.47,2.25,Low Quality
14.3,3.12,0.28,0.51,0.8,2.51,High Quality
13.06,3.41,0.48,0.86,0.95,7.88,High Quality
12.66,3.27,0.57,1.07,0.22,5.2,High Quality
10.92,2.94,0.54,0.3,0.74,11.12,Medium Quality
9.77,3.24,0.76,0.76,0.41,4.37,Medium Quality
8.63,3.37,0.16,0.91,0.99,8.93,Low Quality
13.87,2.99,0.43,0.33,0.43,5.96,High Quality
10.96,3.65,0.35,0.66,0.75,8.19,Medium Quality
9.32,2.95,0.41,1.11,0.7,7.52,Low Quality
9.99,3.73,0.14,0.9,0.56,6.1,Medium Quality
11.76,2.99,0.15,0.51,0.81,11.44,Low Quality
9.15,3.66,0.26,1.07,0.85,4.64,Low Quality
13.57,3.71,0.28,0.61,0.71,2.79,Medium Quality
12.93,3.78,0.37,1.07,0.88,8.39,Medium Quality
12.68,3.62,0.51,0.57,1.09,10.28,Medium Quality
10.81,3.6,0.53,0.83,0.58,1.25,Low Quality
12.08,3.48,0.36,0.66,0.66,5.84,Medium Quality
11.8,3.6,0.36,0.55,0.21,10.8,Medium Quality
12.22,3.02,0.21,1.1,0.92,9.2,High Quality
8.55,3.38,0.49,0.47,0.67,11.91,Low Quality
10.7,3.36,0.29,0.38,0.57,6.75,Low Quality
8.27,3.67,0.08,0.61,0.28,8.19,Low Quality
11.21,3.32,0.36,0.95,1.0,4.19,Low Quality
10.14,3.25,0.41,1.03,0.56,11.41,Low Quality
8.94,3.48,0.22,1.2,0.81,4.9,Low Quality
8.67,3.14,0.48,0.57,0.33,9.07,Low Quality
11.82,3.03,0.47,0.67,1.07,5.32,Medium Quality
9.11,3.33,0.58,0.42,0.36,7.09,Low Quality
14.01,3.28,0.54,0.82,0.38,8.86,High Quality
11.78,3.11,0.54,1.2,0.97,6.5,Medium Quality
10.25,3.23,0.29,0.93,1.02,10.96,Low Quality
11.84,3.23,0.64,0.84,0.39,5.5,High Quality
8.15,3.19,0.46,0.65,0.62,8.05,Low Quality
14.23,3.24,0.37,1.12,0.86,4.63,High Quality
11.13,3.52,0.52,0.75,0.99,5.37,Low Quality
13.09,3.17,0.32,0.42,0.54,5.73,High Quality
8.54,3.75,0.43,0.63,0.67,2.21,Low Quality
11.16,3.72,0.6,0.36,0.87,1.83,Low Quality
11.19,3.33,0.71,0.48,0.86,8.28,Medium Quality
14.1,3.2,0.74,0.32,0.9,8.14,High Quality
11.72,3.38,0.43,0.71,0.71,8.22,Medium Quality
11.08,3.66,0.44,0.87,0.29,1.02,Medium Quality
9.74,3.49,0.65,0.61,1.01,4.46,Medium Quality
10.16,3.62,0.29,0.68,0.98,3.02,Low Quality
11.38,3.38,0.68,1.16,0.92,9.52,Medium Quality
10.85,3.47,0.42,0.98,0.29,10.44,High Quality
8.14,3.16,0.14,0.79,0.38,3.56,Low Quality
13.37,3.56,0.1,0.56,0.87,8.28,High Quality
13.83,3.08,0.68,1.11,0.22,2.25,High Quality
8.91,3.53,0.09,0.51,1.08,3.88,Low Quality
11.6,3.67,0.26,0.59,0.54,2.35,High Quality
8.71,3.02,0.3,1.12,0.85,3.98,Low Quality
12.37,3.45,0.18,0.78,1.0,8.36,Low Quality
9.83,2.99,0.29,0.97,0.56,11.0,Low Quality
12.29,3.55,0.61,0.83,0.49,3.07,High Quality
12.73,2.98,0.06,0.89,0.75,6.87,Medium Quality
13.0,3.74,0.67,0.57,0.72,8.66,Medium Quality
8.7,3.02,0.69,0.52,0.57,11.47,Low Quality
13.95,3.76,0.33,0.59,0.74,7.63,Medium Quality
9.5,3.62,0.17,0.44,1.04,3.66,Low Quality
8.24,3.43,0.5,1.09,0.62,7.81,Medium Quality
11.61,3.6,0.14,0.55,0.38,4.39,Medium Quality
10.41,3.62,0.32,0.81,0.54,11.73,Medium Quality
13.39,3.75,0.77,1.01,0.55,5.28,High Quality
13.25,3.13,0.8,1.01,0.32,8.48,High Quality
10.06,3.43,0.63,0.69,0.35,1.06,Medium Quality
14.19,2.99,0.28,0.73,0.82,5.28,Medium Quality
9.89,3.45,0.57,1.2,0.51,10.6,Low Quality
11.35,3.05,0.58,0.91,1.06,7.63,Low Quality
9.66,3.41,0.34,1.03,0.42,5.77,Low Quality
14.08,3.42,0.53,1.11,0.29,11.28,High Quality
9.07,3.32,0.06,1.01,0.88,10.36,Low Quality
8.29,3.37,0.21,0.47,0.99,4.41,Low Quality
10.83,3.59,0.44,0.81,0.45,6.9,High Quality
14.45,3.62,0.17,0.39,0.38,6.29,High Quality
13.8,3.34,0.17,0.89,0.37,7.88,High Quality
12.87,3.44,0.68,1.16,0.67,4.54,High Quality
